tmsp,country,amount,success,PSP,3D_secured,card
2024-01-01 00:09:38,Austria,115.58,1,PSP5,0,Gold
2024-01-01 00:14:15,Spain,124.14,1,PSP4,0,Master
2024-01-01 00:20:43,Germany,411.63,1,PSP5,0,Platinum
2024-01-01 00:36:23,Germany,255.27,1,PSP3,0,Visa
2024-01-01 00:56:18,Spain,283.15,1,PSP4,1,Platinum
2024-01-01 01:24:17,Germany,390.01,0,PSP2,1,Master
2024-01-01 01:36:24,Spain,203.04,1,PSP5,1,Gold
2024-01-01 02:05:00,France,258.45,1,PSP2,1,Master
2024-01-01 02:13:07,Germany,129.18,0,PSP2,0,Platinum
2024-01-01 02:13:42,Austria,485.87,0,PSP2,1,Gold
2024-01-01 02:35:04,Germany,145.25,1,PSP5,1,Gold
2024-01-01 02:38:16,Austria,464.54,1,PSP2,0,Visa
2024-01-01 02:58:03,Spain,407.69,1,PSP2,1,Platinum
2024-01-01 03:11:22,Spain,417.38,0,PSP1,0,Visa
2024-01-01 03:11:29,Spain,417.38,0,PSP1,0,Visa
2024-01-01 03:11:39,Spain,417.38,0,PSP1,0,Visa
2024-01-01 03:12:17,Spain,417.38,0,PSP1,0,Visa
2024-01-01 03:12:25,France,236.78,0,PSP2,1,Gold
2024-01-01 03:12:45,France,236.78,0,PSP2,1,Gold
2024-01-01 03:23:26,Spain,307.21,0,PSP3,0,Master
2024-01-01 03:51:05,Spain,26.32,1,PSP4,0,Platinum
2024-01-01 03:55:51,Spain,95.21,1,PSP4,1,Gold
2024-01-01 03:56:05,Austria,347.65,0,PSP1,0,Gold
2024-01-01 03:58:03,France,411.41,0,PSP5,0,Visa
2024-01-01 04:09:51,Austria,324.36,0,PSP3,0,Master
2024-01-01 04:13:14,France,439.93,0,PSP3,1,Master
2024-01-01 04:13:52,Germany,175.48,1,PSP1,0,Gold
2024-01-01 04:19:53,Spain,436.22,0,PSP3,0,Master
2024-01-01 04:22:30,Spain,151.4,0,PSP5,0,Platinum
2024-01-01 04:31:09,Spain,92.4,1,PSP5,0,Master
2024-01-01 04:45:44,Spain,334.2,0,PSP2,0,Platinum
2024-01-01 04:45:48,Spain,334.2,0,PSP2,0,Platinum
2024-01-01 05:18:23,Germany,58.99,1,PSP1,0,Platinum
2024-01-01 05:22:26,Spain,440.49,0,PSP4,0,Visa
2024-01-01 05:50:05,Germany,456.72,0,PSP4,0,Gold
2024-01-01 05:57:51,Austria,82.33,0,PSP1,1,Platinum
2024-01-01 05:57:57,Austria,82.33,0,PSP1,1,Platinum
2024-01-01 05:58:01,Austria,82.33,0,PSP1,1,Platinum
2024-01-01 06:14:21,Spain,92.8,0,PSP2,1,Platinum
2024-01-01 06:16:16,Spain,343.88,0,PSP4,0,Platinum
2024-01-01 06:16:57,Spain,343.88,0,PSP4,0,Platinum
2024-01-01 06:17:05,Spain,343.88,0,PSP4,0,Platinum
2024-01-01 06:17:13,Spain,343.88,0,PSP4,0,Platinum
2024-01-01 06:23:26,Spain,331.06,1,PSP1,1,Platinum
2024-01-01 06:38:36,Austria,260.64,0,PSP1,0,Master
2024-01-01 06:43:01,Spain,165.81,0,PSP5,1,Gold
2024-01-01 07:03:48,Austria,316.44,1,PSP1,0,Platinum
2024-01-01 07:21:46,Austria,347.08,0,PSP2,0,Master
2024-01-01 07:22:23,Austria,347.08,0,PSP2,0,Master
2024-01-01 07:22:44,Austria,347.08,0,PSP2,0,Master
2024-01-01 07:23:44,Austria,157.76,1,PSP2,1,Master
2024-01-01 07:26:36,Spain,306.13,1,PSP1,0,Visa
2024-01-01 07:27:28,Austria,251.6,0,PSP4,0,Visa
2024-01-01 07:27:45,Austria,251.6,0,PSP4,0,Visa
2024-01-01 07:27:51,Austria,251.6,0,PSP4,0,Visa
2024-01-01 07:28:11,Austria,251.6,0,PSP4,0,Visa
2024-01-01 07:32:08,France,62.58,1,PSP2,1,Master
2024-01-01 07:32:10,Austria,232.52,1,PSP5,1,Master
2024-01-01 07:33:26,France,100.34,0,PSP5,1,Master
2024-01-01 07:36:48,France,77.28,0,PSP2,0,Platinum
2024-01-01 07:37:34,Spain,78.77,1,PSP5,0,Master
2024-01-01 08:06:03,Austria,411.8,1,PSP4,1,Master
2024-01-01 08:17:16,Germany,268.86,0,PSP1,1,Gold
2024-01-01 08:35:38,Spain,380.63,1,PSP2,0,Master
2024-01-01 08:46:29,France,251.37,1,PSP3,0,Gold
2024-01-01 08:47:23,Spain,425.88,0,PSP5,0,Gold
2024-01-01 08:50:17,Austria,159.87,1,PSP4,0,Visa
2024-01-01 08:51:00,Germany,337.01,1,PSP4,0,Gold
2024-01-01 08:52:03,France,171.99,1,PSP2,0,Master
2024-01-01 08:59:10,France,327.38,1,PSP5,0,Gold
2024-01-01 09:14:23,Austria,140.67,0,PSP1,0,Master
2024-01-01 09:41:47,Germany,322.02,1,PSP2,1,Gold
2024-01-01 09:41:50,Austria,231.45,0,PSP2,1,Master
2024-01-01 09:56:58,France,340.78,1,PSP4,1,Master
2024-01-01 10:18:47,Austria,246.79,1,PSP3,0,Visa
2024-01-01 10:28:40,Austria,495.06,1,PSP1,1,Platinum
2024-01-01 10:29:50,Spain,493.6,0,PSP1,1,Master
2024-01-01 10:29:55,Spain,493.6,0,PSP1,1,Master
2024-01-01 10:30:50,Spain,493.6,0,PSP1,1,Master
2024-01-01 10:32:06,Germany,499.89,1,PSP1,1,Platinum
2024-01-01 10:34:32,Germany,455.81,1,PSP3,0,Gold
2024-01-01 10:46:52,Spain,108.55,1,PSP3,0,Gold
2024-01-01 10:48:47,Austria,122.33,0,PSP3,0,Platinum
2024-01-01 10:57:49,Spain,436.92,0,PSP4,1,Gold
2024-01-01 11:02:47,Austria,411.95,0,PSP2,1,Platinum
